Identifiant,Résumé,Statut,Version ciblée,Version du produit
0040605,Demande > Tableau de bord > source > Mettre Importé si’il y a eu un import au lieu de saisi,nouveau,,3.3.4
0040391,site OMI FAL qui indique que les FAL ont changées au 01/01/2018,nouveau,,3.3.4
0039831,Tableau des mouvements > trou dans la numérotation si mouvements annulés auto par annulation des demandes,nouveau,,3.3.4
0039818,Stats > A Rejouer n'apparait dans le tableau des fichiers stats pas suite à une modification de l'escale stats,nouveau,,3.3.4
0023904,Pouvoir gérer par module Ferry les navires OMI à lignes régulières autres que type transbordeurs,commentaire,,V2.0.2 (Lot6c)
0039105,"EVOL : Menu Occupation des quais : permettre d’accéder directement aux dossiers (demandes, mouvements, escales) / Améliorer l’er",nouveau,,3.3.4
0039084,PNA (Ports Normands Associés) : souhaite intégrer dans Escaleport un module « light » Droits de port,nouveau,,3.3.4
0039081,Demande de Sortie > Avis Capitainerie « VPM » > ’écran avis>rubrique « déchets »> conserver ou pas champ Envoi message déchet dé,nouveau,,3.3.4
0039064,Tableaux des escales : ajouter critères recherche « non consolidée »,nouveau,,3.3.4
0037487,[MD] anno et évol liées à une meilleurs compréhension du formulaire MD,commentaire,,3.3.4
0038344,FAL MD > champ « classification DPG » est ce le bon libellé,nouveau,,3.3.4
0037516,Mettre à jour le document du modèle de données en ajoutant les tables GU_*,nouveau,,3.3.4
0025546,Admin profils : certaines case à cocher ne servent à rien.,nouveau,,v3.0.2
0023906,Exports par profil > pas les résultats attendus par profil,commentaire,,V2.1.3 (Lot6g)
0022535,"Historique : ligne ""Modification société lamanage"" attribuée à un utilisateur est créée à chaque fois que cet utilisateur saisi",à traiter,,v3.0.0
0022086,"Champs ""marchandise déclarée"" renseignés à partir menu Cargaison  mais n'apparaissent pas à l'impression du dossier d'escale.",à chiffrer,,v3.0.0
0022085,Imprimer dossier escale > les champs inspection sont vides,commentaire,,v3.0.0
0022084,Compléter mouvement > MD NON passe à OUI > maj dans Dossier Escale mais pas maj dans Imprimer Dossier Escale,commentaire,,v3.0.0
0018380,Copie des formalités de DE vers DS,commentaire,,v2.9.2
0023941,[Anomalie documentaire] DAPAQ : incohérence des données,à chiffrer,,v3.1.0
0027474,FAL1 > Nouveau champ commentaire Capitainerie > devrait déclencher l’ajout d’une ligne dans les notifications d’alerte du tablea,nouveau,,V3.1.2
0025547,Préalimenter le module stat avec les informations de l'escale (ex: FAL2),nouveau,,v3.0.2
0025543,Tableau mouvements : ajouter un bouton jour 'J',nouveau,,v3.0.2
0025489,Evol > accès Smartphones et tablettes,nouveau,,v3.0.0
0025494,Ajouter certaines infos (spécifiques ferry) à l'historique,nouveau,,v3.0.0
0025541,Evol > Stats mettre une alerte pour saisir champ rotations si saisie cumulée,nouveau,,v3.0.2
0025549,Calais: la société JP demande interfaçage de leur SI voyageurs avec Escaleport,commentaire,,v3.0.2
0023204,Messages: ils devraient être séquentiels mais il y a des trous dans la numérotation,commentaire,,V1.4.0 (Lot3a)
0034639,"Tableaude bord > la case ""terminé"" d'une formalité ne doit pas être cochable si le formulaire correspondant n'est pas rempli.",nouveau,,V3.3.3
0037007,Ajouter message NCA_Mouill_rade pour envoi Trafic2000,nouveau,,3.3.4
0034781,Statistiques: comment modifier l'état (définitif ou provisoire) d'un fichier généré?,nouveau,,
0036295,Problèmes de configuration des extensions de fichiers autorisées pour les types de PJ,nouveau,,
0036474,Décentralisation de la gestion des comptes utilisateurs,nouveau,,
0021517,Lors de la création d'une societe AP il ne devrait pas être nécessaire de lui affecter l'activite consignataire.,à traiter,,
